date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24427,24427,0,24418,8,1,24427,0
2020-12-28,18073,18073,0,42489,9,2,42500,0
2020-12-29,50229,50229,0,92717,9,3,92729,0
2020-12-30,64213,64213,0,156929,10,3,156942,0
2020-12-31,49985,49985,0,206912,12,3,206927,0
2021-01-01,25723,25723,0,232614,27,7,232650,0
2021-01-02,47835,47835,0,280446,28,7,280485,0
2021-01-03,22614,22614,0,303053,35,7,303099,0
2021-01-04,46362,46362,0,349385,46,8,349461,0
2021-01-05,52522,52522,0,401903,50,8,401983,0
2021-01-06,63128,63128,0,465022,57,10,465111,0
2021-01-07,54921,54921,0,519931,65,13,520032,0
2021-01-08,62906,62906,0,582781,118,16,582938,0
2021-01-09,60605,60605,0,643378,126,16,643543,0
2021-01-10,35858,35858,0,679224,136,17,679401,0
2021-01-11,68803,68803,0,748014,146,20,748204,0
2021-01-12,79365,79365,0,827354,167,23,827569,0
2021-01-13,112478,112478,0,938649,1350,23,940047,0
2021-01-14,84179,84179,0,1017704,6472,25,1024226,0
2021-01-15,91942,90965,977,1104339,11758,44,1115191,977
2021-01-16,58125,56881,1244,1160768,13452,45,1172072,2221
2021-01-17,47854,30771,17083,1207355,14717,46,1202843,19304
2021-01-18,83327,67562,15765,1286416,18980,49,1270405,35069
2021-01-19,119936,83836,36100,1402532,22749,100,1354241,71169
2021-01-20,133015,79030,53985,1532699,25593,104,1433271,125154
2021-01-21,105670,64541,41129,1635538,28419,108,1497812,166283
2021-01-22,102459,68811,33648,1735786,30616,122,1566623,199931
2021-01-23,87119,40785,46334,1822539,30977,127,1607408,246265
2021-01-24,47869,25709,22160,1870199,31181,131,1633117,268425
2021-01-25,91104,52366,38738,1959845,32636,134,1685483,307163
2021-01-26,98753,51235,47518,2057148,34079,141,1736718,354681
2021-01-27,109702,51173,58529,2165046,35873,149,1787891,413210
2021-01-28,92810,47030,45780,2256217,37508,153,1834921,458990
2021-01-29,107856,49889,57967,2362514,38995,224,1884810,516957
2021-01-30,88197,34691,53506,2449821,39879,228,1919501,570463
2021-01-31,57292,25823,31469,2506722,40264,233,1945324,601932
2021-02-01,120570,58404,62166,2625011,42488,289,2003728,664098
2021-02-02,132958,65534,67424,2754802,45628,314,2069262,731522
2021-02-03,163286,64698,98588,2911658,52030,341,2133960,830110
2021-02-04,134787,62224,72563,3040535,57932,349,2196184,902673
2021-02-05,147684,69436,78248,3181732,64409,358,2265620,980921
2021-02-06,94242,45623,48619,3273333,67048,359,2311243,1029540
2021-02-07,53591,28308,25283,3324578,69390,362,2339551,1054823
2021-02-08,109523,53028,56495,3430228,73232,392,2392579,1111318
2021-02-09,134858,60317,74541,3561427,76704,579,2452896,1185859
2021-02-10,155525,77843,77682,3704233,81023,8978,2530739,1263541
2021-02-11,144835,75763,69072,3825201,88370,25496,2606502,1332613
2021-02-12,156387,80353,76034,3957776,97755,39917,2686855,1408647
2021-02-13,107939,62098,45841,4049020,101034,53332,2748953,1454488
2021-02-14,65511,39668,25843,4104742,103519,60635,2788621,1480331
2021-02-15,125995,70200,55795,4209850,108845,76184,2858821,1536126
2021-02-16,135065,78365,56700,4318955,115063,95925,2937186,1592826
2021-02-17,151995,95474,56521,4441887,123136,116911,3032660,1649347
2021-02-18,145344,91913,53431,4554902,131430,140940,3124573,1702778
2021-02-19,159021,103197,55824,4676212,141479,168601,3227770,1758602
2021-02-20,112625,76237,36388,4762981,145964,189966,3304007,1794990
2021-02-21,86100,57765,28335,4829615,149615,205778,3361772,1823325
2021-02-22,156754,98360,58394,4953266,158694,229801,3460132,1881719
2021-02-23,170680,110071,60609,5087655,166062,258722,3570203,1942328
2021-02-24,177272,117747,59525,5219922,173727,296061,3687950,2001853
2021-02-25,190515,131022,59493,5352079,180523,347623,3818972,2061346
2021-02-26,214407,146676,67731,5494183,189412,411037,3965648,2129077
2021-02-27,148463,108588,39875,5587047,193505,462540,4074236,2168952
2021-02-28,103716,79510,24206,5648752,197480,500574,4153746,2193158
2021-03-01,199544,149576,49968,5779894,207200,559256,4303322,2243126
2021-03-02,220392,168089,52303,5920957,217311,628474,4471411,2295429
2021-03-03,248823,177915,70908,6079771,232501,703292,4649326,2366337
2021-03-04,245950,182702,63248,6221694,247026,792794,4832028,2429585
2021-03-05,276258,208698,67560,6370542,260446,906782,5040726,2497145
2021-03-06,203148,154359,48789,6480187,269316,991415,5195085,2545934
2021-03-07,148075,114496,33579,6560161,276007,1052825,5309581,2579513
2021-03-08,238830,186853,51977,6694953,287002,1145867,5496434,2631490
2021-03-09,253509,198434,55075,6835774,299846,1245711,5694868,2686565
2021-03-10,289857,222324,67533,6995206,312129,1363852,5917192,2754098
2021-03-11,285153,224107,61046,7142786,325959,1487595,6141299,2815144
2021-03-12,328939,257738,71201,7294902,343373,1647003,6399037,2886345
2021-03-13,241871,191430,50441,7411311,352999,1762839,6590467,2936786
2021-03-14,170710,134969,35741,7499722,358523,1839614,6725436,2972527
2021-03-15,249771,190415,59356,7653112,371393,1923125,6915851,3031883
2021-03-16,179735,111269,68466,7820313,382718,1924334,7027120,3100349
2021-03-17,206224,124950,81274,8007648,400789,1925151,7152070,3181623
2021-03-18,194470,118533,75937,8182461,419045,1926552,7270603,3257560
2021-03-19,246409,161635,84774,8368780,439978,1965709,7432238,3342334
2021-03-20,221521,168075,53446,8504834,455339,2035815,7600313,3395780
2021-03-21,165089,126707,38382,8607401,464553,2089122,7727020,3434162
2021-03-22,270195,193364,76831,8774079,488554,2168638,7920384,3510993
2021-03-23,299489,214991,84498,8953018,508574,2269166,8135375,3595491
2021-03-24,339854,250185,89669,9151333,541997,2377279,8385560,3685160
2021-03-25,333068,251649,81419,9335910,569852,2497914,8637209,3766579
2021-03-26,374953,285789,89164,9535695,607281,2635651,8922998,3855743
2021-03-27,282663,220044,62619,9685802,635004,2740481,9143042,3918362
