Order ID,Order Date,Order Day,Order Weekday,Order Month,Order Year,Order Quarter,Ship Date,Ship Day,Ship Weekday,Ship Month,Ship Year,Ship Quarter,Delivery Time,Ship Mode,Customer ID,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Price per Piece,Profit per Piece
CA-2013-152156,2013-11-09,9,Saturday,11,2013,4,2013-11-12,12,Tuesday,11,2013,4,3,Second Class,CG-12520,Consumer,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,130.98,20.9568
CA-2013-152156,2013-11-09,9,Saturday,11,2013,4,2013-11-12,12,Tuesday,11,2013,4,3,Second Class,CG-12520,Consumer,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,243.98000000000002,73.194
CA-2013-138688,2013-06-13,13,Thursday,6,2013,2,2013-06-17,17,Monday,6,2013,2,4,Second Class,DV-13045,Corporate,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,7.31,3.4357
US-2012-108966,2012-10-11,11,Thursday,10,2012,4,2012-10-18,18,Thursday,10,2012,4,7,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,191.5155,-76.6062
US-2012-108966,2012-10-11,11,Thursday,10,2012,4,2012-10-18,18,Thursday,10,2012,4,7,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,11.184,1.2582
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,6.9799999999999995,2.0242
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,1.82,0.4914
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,151.192,15.1192
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,6.168,1.9275
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,22.98,6.894
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,189.576,9.4788
CA-2011-115812,2011-06-09,9,Thursday,6,2011,2,2011-06-14,14,Tuesday,6,2011,2,5,Standard Class,BH-11710,Consumer,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,227.856,17.0892
CA-2014-114412,2014-04-16,16,Wednesday,4,2014,2,2014-04-21,21,Monday,4,2014,2,5,Standard Class,AA-10480,Consumer,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,5.184,1.8144
CA-2013-161389,2013-12-06,6,Friday,12,2013,4,2013-12-11,11,Wednesday,12,2013,4,5,Standard Class,IM-15070,Consumer,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,135.992,44.197399999999995
US-2012-118983,2012-11-22,22,Thursday,11,2012,4,2012-11-26,26,Monday,11,2012,4,4,Standard Class,HP-14815,Home Office,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,13.762,-24.7716
US-2012-118983,2012-11-22,22,Thursday,11,2012,4,2012-11-26,26,Monday,11,2012,4,4,Standard Class,HP-14815,Home Office,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,0.848,-1.272
CA-2011-105893,2011-11-11,11,Friday,11,2011,4,2011-11-18,18,Friday,11,2011,4,7,Standard Class,PK-19075,Consumer,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,110.98,2.2196000000000002
CA-2011-167164,2011-05-13,13,Friday,5,2011,2,2011-05-15,15,Sunday,5,2011,2,2,Second Class,AG-10270,Consumer,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,27.75,4.995
CA-2011-143336,2011-08-27,27,Saturday,8,2011,3,2011-09-01,1,Thursday,9,2011,3,5,Second Class,ZD-21925,Consumer,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,4.28,1.2412
CA-2011-143336,2011-08-27,27,Saturday,8,2011,3,2011-09-01,1,Thursday,9,2011,3,5,Second Class,ZD-21925,Consumer,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,71.16,5.337
CA-2011-143336,2011-08-27,27,Saturday,8,2011,3,2011-09-01,1,Thursday,9,2011,3,5,Second Class,ZD-21925,Consumer,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,5.68,1.846
CA-2013-137330,2013-12-10,10,Tuesday,12,2013,4,2013-12-14,14,Saturday,12,2013,4,4,Standard Class,KB-16585,Corporate,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2.7800000000000002,0.7228
CA-2013-137330,2013-12-10,10,Tuesday,12,2013,4,2013-12-14,14,Saturday,12,2013,4,4,Standard Class,KB-16585,Corporate,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,8.620000000000001,2.2412
US-2014-156909,2014-07-17,17,Thursday,7,2014,3,2014-07-19,19,Saturday,7,2014,3,2,Second Class,SF-20065,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,35.686,-0.5098
CA-2012-106320,2012-09-25,25,Tuesday,9,2012,3,2012-09-30,30,Sunday,9,2012,3,5,Standard Class,EB-13870,Consumer,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,348.21000000000004,80.0883
CA-2013-121755,2013-01-16,16,Wednesday,1,2013,1,2013-01-20,20,Sunday,1,2013,1,4,Second Class,EH-13945,Consumer,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,5.824,2.1112
CA-2013-121755,2013-01-16,16,Wednesday,1,2013,1,2013-01-20,20,Sunday,1,2013,1,4,Second Class,EH-13945,Consumer,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,30.189999999999998,3.9247
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,440.48999999999995,-237.86460000000002
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,4.809,-3.5266
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,41.4,5.175
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,1.632,0.5508
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,14.384,1.6181999999999999
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,1.143,-0.9525
US-2012-150630,2012-09-17,17,Monday,9,2012,3,2012-09-21,21,Friday,9,2012,3,4,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,7.88,1.773
CA-2014-107727,2014-10-20,20,Monday,10,2014,4,2014-10-24,24,Friday,10,2014,4,4,Second Class,MA-17560,Home Office,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,29.472,3,0.2,9.9468,9.824,3.3156
CA-2013-117590,2013-12-09,9,Monday,12,2013,4,2013-12-11,11,Wednesday,12,2013,4,2,First Class,GH-14485,Corporate,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,156.792,17.6391
CA-2013-117590,2013-12-09,9,Monday,12,2013,4,2013-12-11,11,Wednesday,12,2013,4,2,First Class,GH-14485,Corporate,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,38.184,-29.592599999999997
CA-2012-117415,2012-12-27,27,Thursday,12,2012,4,2012-12-31,31,Monday,12,2012,4,4,Standard Class,SN-20710,Home Office,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,12.592,3.935
